"","Length","GC"
"ENSG00000004455",5727,0.449624585297713
"ENSG00000004468",6855,0.425674690007294
"ENSG00000004478",5180,0.525868725868726
"ENSG00000004487",5435,0.466421343146274
"ENSG00000004534",7302,0.469597370583402
"ENSG00000004660",7424,0.574757543103448
"ENSG00000004700",3778,0.376654314452091
"ENSG00000004766",9454,0.355299344192934
"ENSG00000004776",1722,0.631823461091754
"ENSG00000004777",5260,0.646768060836502
"ENSG00000004779",1600,0.48125
"ENSG00000004799",4519,0.379730028767426
"ENSG00000004809",3907,0.456104427949834
"ENSG00000004838",4009,0.584933898727862
"ENSG00000004846",9257,0.408015555795614
"ENSG00000004848",3097,0.623829512431385
"ENSG00000004864",3710,0.440970350404313
"ENSG00000004866",6742,0.450756452091368
"ENSG00000004897",6824,0.376025791324736
"ENSG00000004939",5287,0.56440325326272
"ENSG00000004948",4042,0.408955962394854
"ENSG00000004961",2335,0.427408993576017
"ENSG00000004975",5350,0.58785046728972
"ENSG00000005001",2387,0.62379555927943
"ENSG00000005007",8600,0.596162790697674
"ENSG00000005020",5520,0.400724637681159
"ENSG00000005022",1500,0.498
"ENSG00000005059",3566,0.39736399326977
"ENSG00000005073",2307,0.550498482878197
"ENSG00000005075",1355,0.588191881918819
"ENSG00000005100",5872,0.488589918256131
"ENSG00000005102",2707,0.526413003324714
"ENSG00000005108",10929,0.425656510202214
"ENSG00000005156",12919,0.498955027478907
"ENSG00000005175",5381,0.359041070433005
"ENSG00000005187",7822,0.422654052671951
"ENSG00000005189",4114,0.463782207097715
"ENSG00000005194",3509,0.477913935594186
"ENSG00000005206",7130,0.640813464235624
"ENSG00000005238",6409,0.562334217506631
"ENSG00000005243",1851,0.542949756888169
"ENSG00000005249",4318,0.400416859657249
"ENSG00000005302",6496,0.436114532019704
"ENSG00000005339",15492,0.53150012909889
"ENSG00000005379",11354,0.606041923551171
"ENSG00000005381",3526,0.588201928530913
"ENSG00000005421",2832,0.424081920903955
"ENSG00000005436",5465,0.373650503202196
"ENSG00000005448",2860,0.563986013986014
"ENSG00000005469",4979,0.366740309299056
"ENSG00000005471",7494,0.425406992260475
"ENSG00000005483",9231,0.411114722131947
"ENSG00000005486",2441,0.577632117984433
"ENSG00000005513",4432,0.649593862815884
"ENSG00000005700",8722,0.368034854391195
"ENSG00000005801",5709,0.434752145734805
"ENSG00000005810",15945,0.43969896519285
"ENSG00000005812",7082,0.388873199661113
"ENSG00000005844",6472,0.55655129789864
"ENSG00000005882",5481,0.58128078817734
"ENSG00000005884",9802,0.574372577025097
"ENSG00000005889",9037,0.421268119951311
"ENSG00000005893",5526,0.365906623235613
"ENSG00000005961",5551,0.605836786164655
"ENSG00000005981",4605,0.41672095548317
"ENSG00000006007",4416,0.451539855072464
"ENSG00000006015",3370,0.596439169139466
"ENSG00000006016",3018,0.623923127899271
"ENSG00000006025",6572,0.597839318320146
"ENSG00000006042",5187,0.499325236167341
"ENSG00000006047",4618,0.586184495452577
"ENSG00000006059",1287,0.605283605283605
"ENSG00000006062",5852,0.582194121667806
"ENSG00000006071",6778,0.589997049277073
"ENSG00000006116",3088,0.543717616580311
"ENSG00000006118",7271,0.612570485490304
"ENSG00000006125",7587,0.462501647555028
"ENSG00000006128",1888,0.468220338983051
"ENSG00000006194",6945,0.497480201583873
"ENSG00000006210",5983,0.556242687614909
"ENSG00000006282",5337,0.61663856098932
"ENSG00000006283",9709,0.586672159851684
"ENSG00000006327",1848,0.641233766233766
"ENSG00000006377",3449,0.543925775587127
"ENSG00000006432",12386,0.520668496689811
"ENSG00000006451",3665,0.447203274215553
"ENSG00000006453",4798,0.516465193830763
"ENSG00000006459",9430,0.387062566277837
"ENSG00000006468",9616,0.387895174708819
"ENSG00000006530",6547,0.410111501451046
"ENSG00000006534",6626,0.586326592212496
"ENSG00000006555",6055,0.56729975227085
"ENSG00000006576",8646,0.355424473745084
"ENSG00000006606",706,0.521246458923513
"ENSG00000006607",14413,0.479844584749879
"ENSG00000006611",4904,0.560154975530179
"ENSG00000006625",1597,0.41577958672511
"ENSG00000006634",4583,0.387955487671831
"ENSG00000006638",2793,0.625134264232009
"ENSG00000006652",7489,0.405127520363199
"ENSG00000006659",1079,0.478220574606117
"ENSG00000006695",3172,0.493379571248424
"ENSG00000006704",6498,0.581717451523546
"ENSG00000006712",2668,0.562968515742129
"ENSG00000006715",7801,0.400333290603769
"ENSG00000006740",9281,0.527744855080271
"ENSG00000006744",6345,0.544996059889677
"ENSG00000006747",11623,0.407898133012131
"ENSG00000006756",7030,0.513371266002845
"ENSG00000006757",3441,0.426620168555652
"ENSG00000006788",6349,0.520396912899669
"ENSG00000006831",5878,0.437053419530453
"ENSG00000006837",3057,0.384363755315669
"ENSG00000007001",2957,0.41630030436253
"ENSG00000007038",1967,0.601931875953228
"ENSG00000007047",6668,0.577084583083383
"ENSG00000007062",7434,0.466908797417272
"ENSG00000007080",1660,0.619277108433735
"ENSG00000007129",1964,0.559572301425662
"ENSG00000007168",8127,0.421188630490956
"ENSG00000007171",4176,0.561781609195402
"ENSG00000007174",16980,0.510777385159011
"ENSG00000007202",9235,0.506767731456416
"ENSG00000007216",3226,0.574085554866708
"ENSG00000007237",10100,0.523564356435644
"ENSG00000007255",933,0.646302250803859
"ENSG00000007264",4141,0.644771794252596
"ENSG00000007306",2649,0.453756134390336
"ENSG00000007312",2080,0.609615384615385
"ENSG00000007314",8247,0.57620953073845
"ENSG00000007341",8111,0.445444458143262
"ENSG00000007350",3650,0.503013698630137
"ENSG00000007372",14782,0.481396292788527
"ENSG00000007376",2769,0.662332972192127
"ENSG00000007384",4914,0.617826617826618
"ENSG00000007392",6176,0.470693005181347
"ENSG00000007402",6322,0.583992407465992
"ENSG00000007516",6146,0.65375854214123
"ENSG00000007520",1243,0.670957361222848
"ENSG00000007541",7904,0.662322874493927
"ENSG00000007545",8373,0.57446554401051
"ENSG00000007866",3046,0.596520026263953
"ENSG00000007908",4585,0.422028353326063
"ENSG00000007923",5083,0.534330120007869
"ENSG00000007933",3463,0.431417845798441
"ENSG00000007944",3033,0.464556544675239
"ENSG00000007952",2529,0.440094899169632
"ENSG00000007968",5457,0.565512186182884
"ENSG00000008018",2256,0.424202127659574
"ENSG00000008056",3209,0.61670302274852
"ENSG00000008083",6015,0.509393183707398
"ENSG00000008086",17075,0.426998535871157
"ENSG00000008118",2676,0.536248131539611
"ENSG00000008128",4701,0.563284407572857
"ENSG00000008130",5570,0.591202872531418
"ENSG00000008196",6149,0.482842738656692
"ENSG00000008197",1856,0.482758620689655
"ENSG00000008226",8338,0.552050851523147
"ENSG00000008256",5808,0.543388429752066
"ENSG00000008277",12199,0.398639232723994
"ENSG00000008282",2804,0.434022824536377
"ENSG00000008283",5320,0.59906015037594
"ENSG00000008294",11963,0.41411017303352
"ENSG00000008300",13895,0.612018711766823
"ENSG00000008311",4591,0.420605532563712
"ENSG00000008323",4260,0.607746478873239
"ENSG00000008324",1301,0.478862413528055
"ENSG00000008382",2049,0.659346022449976
"ENSG00000008394",7440,0.386693548387097
"ENSG00000008405",5062,0.429276965626235
"ENSG00000008438",720,0.623611111111111
"ENSG00000008441",6302,0.608378292605522
"ENSG00000008513",8729,0.523198533623554
"ENSG00000008516",4126,0.653659718856035
"ENSG00000008517",3209,0.582736054845746
"ENSG00000008710",18608,0.657942820292347
"ENSG00000008735",5901,0.634807659718692
"ENSG00000008838",6962,0.573685722493536
"ENSG00000008853",6580,0.590577507598784
"ENSG00000008869",8206,0.413112356812089
"ENSG00000008952",7928,0.372098890010091
"ENSG00000008988",3002,0.436708860759494
"ENSG00000009307",5778,0.405330564209069
"ENSG00000009335",9220,0.456616052060738
"ENSG00000009413",12425,0.391951710261569
"ENSG00000009694",12896,0.421991315136476
"ENSG00000009709",6313,0.54585775384128
"ENSG00000009724",4251,0.554928252175959
"ENSG00000009765",10362,0.433217525574213
"ENSG00000009780",4034,0.413237481408032
"ENSG00000009790",7750,0.448
"ENSG00000009830",10008,0.52847721822542
"ENSG00000009844",7262,0.38006058936932
"ENSG00000009950",4815,0.618899273104881
"ENSG00000009954",7053,0.476960158797675
"ENSG00000010017",3347,0.456827009262026
"ENSG00000010030",2374,0.526116259477675
"ENSG00000010072",5906,0.422621063325432
"ENSG00000010165",3827,0.498040240397178
"ENSG00000010219",7054,0.457470938474624
"ENSG00000010244",15842,0.3664941295291
"ENSG00000010256",3236,0.583436341161928
"ENSG00000010270",4348,0.444802207911684
"ENSG00000010278",3299,0.503789026977872
"ENSG00000010282",2891,0.576271186440678
"ENSG00000010292",6487,0.518883921689533
"ENSG00000010295",5203,0.587545646742264
"ENSG00000010310",4736,0.569890202702703
"ENSG00000010318",3367,0.501336501336501
"ENSG00000010319",5011,0.585312312911594
"ENSG00000010322",9161,0.584870647309246
"ENSG00000010327",10588,0.620891575368341
"ENSG00000010361",2950,0.575932203389831
"ENSG00000010379",4243,0.530285175583314
"ENSG00000010404",9292,0.440163581575549
"ENSG00000010438",1664,0.572716346153846
"ENSG00000010539",7498,0.448786343024807
"ENSG00000010610",4583,0.552694741435741
"ENSG00000010626",3054,0.545841519318926
"ENSG00000010671",4575,0.454426229508197
"ENSG00000010704",5675,0.433303964757709
"ENSG00000010803",4447,0.509557004722285
"ENSG00000010810",7411,0.460666576710295
"ENSG00000010818",9774,0.467260077757315
"ENSG00000010932",3602,0.424486396446419
"ENSG00000011007",5391,0.491745501762196
"ENSG00000011009",2196,0.620218579234973
"ENSG00000011021",6938,0.532862496396656
"ENSG00000011028",6860,0.637755102040816
"ENSG00000011052",1241,0.531829170024174
"ENSG00000011083",4391,0.605556820769756
"ENSG00000011105",5714,0.577178858942947
"ENSG00000011114",11333,0.423453630989147
"ENSG00000011132",5556,0.608171346292297
"ENSG00000011143",4078,0.522069641981363
"ENSG00000011198",3172,0.468789407313997
"ENSG00000011201",7131,0.405693451128874
"ENSG00000011243",5081,0.606376697500492
"ENSG00000011258",7201,0.389806971253992
"ENSG00000011260",2721,0.430356486585814
"ENSG00000011275",7619,0.51712823205145
"ENSG00000011295",5966,0.463459604425075
"ENSG00000011304",6883,0.604968763620514
"ENSG00000011332",4800,0.608333333333333
"ENSG00000011347",5953,0.605912985049555
"ENSG00000011376",5393,0.51103282032264
"ENSG00000011405",9204,0.378096479791395
"ENSG00000011422",4457,0.526587390621494
"ENSG00000011426",6012,0.40335994677312
"ENSG00000011451",7965,0.609039548022599
"ENSG00000011454",9162,0.423379174852652
"ENSG00000011465",12847,0.367634467190784
"ENSG00000011478",2396,0.579716193656094
"ENSG00000011485",7059,0.561694290976059
"ENSG00000011523",8623,0.464919401600371
"ENSG00000011566",6067,0.378111092797099
"ENSG00000011590",2770,0.587364620938628
"ENSG00000011600",907,0.595369349503859
"ENSG00000011638",2558,0.500781860828773
"ENSG00000011677",4193,0.465776293823038
"ENSG00000012048",8922,0.433983411791078
"ENSG00000012061",5576,0.559720229555237
"ENSG00000012124",6248,0.55089628681178
"ENSG00000012171",5768,0.635922330097087
"ENSG00000012174",8927,0.387476195810463
"ENSG00000012211",3194,0.622730118973075
"ENSG00000012223",4247,0.53072757240405
"ENSG00000012232",13220,0.508547655068079
"ENSG00000012504",3460,0.401156069364162
"ENSG00000012660",3813,0.425124573826383
"ENSG00000012779",3730,0.589544235924933
"ENSG00000012817",9463,0.454084328437071
"ENSG00000012822",8898,0.516970105641717
"ENSG00000012963",3694,0.455603681645912
"ENSG00000012983",7620,0.376771653543307
"ENSG00000013016",4636,0.538826574633305
"ENSG00000013275",2387,0.54754922496858
"ENSG00000013288",8898,0.574511126095752
"ENSG00000013293",10459,0.430347069509513
"ENSG00000013297",6032,0.464025198938992
"ENSG00000013306",3526,0.618547929665343
"ENSG00000013364",6141,0.57352222765022
"ENSG00000013374",5411,0.482165958233229
"ENSG00000013375",7335,0.395773687798228
"ENSG00000013392",3744,0.426014957264957
"ENSG00000013441",5170,0.393230174081238
"ENSG00000013503",4858,0.445244956772334
"ENSG00000013523",6414,0.529934518241347
"ENSG00000013561",4987,0.443152195708843
"ENSG00000013563",4130,0.571670702179177
"ENSG00000013573",8374,0.565918318605207
"ENSG00000013583",3442,0.46891342242882
"ENSG00000013588",8440,0.497867298578199
"ENSG00000013619",5958,0.544645854313528
"ENSG00000013725",5958,0.582242363209131
"ENSG00000013810",6528,0.606004901960784
"ENSG00000014123",4539,0.37320995814056
"ENSG00000014138",5726,0.518337408312958
"ENSG00000014164",3731,0.641114982578397
"ENSG00000014216",7553,0.605719581623196
"ENSG00000014257",4193,0.435249224898641
"ENSG00000014641",4990,0.41122244488978
"ENSG00000014824",7225,0.379930795847751
"ENSG00000014914",4591,0.510564147244609
"ENSG00000014919",4177,0.447689729470912
"ENSG00000015133",12426,0.563013037180106
"ENSG00000015153",10839,0.368576436940677
"ENSG00000015171",5300,0.428679245283019
"ENSG00000015285",2381,0.600167996640067
"ENSG00000015413",2737,0.633175009134088
"ENSG00000015475",4446,0.5314889788574
"ENSG00000015479",11772,0.387274889568468
"ENSG00000015520",5252,0.582825590251333
"ENSG00000015532",5472,0.588084795321637
"ENSG00000015568",14175,0.399506172839506
"ENSG00000015592",3294,0.509107468123862
"ENSG00000015676",10113,0.5379214871947
"ENSG00000016082",2882,0.453504510756419
"ENSG00000016391",7758,0.525006444960041
"ENSG00000016402",4730,0.45369978858351
"ENSG00000016490",3340,0.432035928143713
"ENSG00000016602",3447,0.378590078328982
"ENSG00000016864",3837,0.47302580140735
"ENSG00000017260",8533,0.398218680417204
"ENSG00000017427",8087,0.369481884505997
"ENSG00000017483",4014,0.57847533632287
"ENSG00000017797",4979,0.493472584856397
"ENSG00000018189",8070,0.416480793060719
"ENSG00000018236",7492,0.389215162840363
"ENSG00000018280",8676,0.573766712770862
"ENSG00000018408",8413,0.426363960537264
"ENSG00000018510",8745,0.371183533447684
"ENSG00000018607",1774,0.43630214205186
"ENSG00000018610",2580,0.463565891472868
"ENSG00000018625",6298,0.533343918704351
"ENSG00000018699",3185,0.435478806907378
"ENSG00000018869",3350,0.429850746268657
"ENSG00000019102",1432,0.583798882681564
"ENSG00000019144",21722,0.54387257158641
"ENSG00000019169",2079,0.568542568542569
"ENSG00000019186",3972,0.449899295065458
"ENSG00000019485",13954,0.543213415508098
"ENSG00000019505",5424,0.480641592920354
"ENSG00000019549",2282,0.436897458369851
"ENSG00000019582",3184,0.588881909547739
"ENSG00000019991",8897,0.356974260986849
"ENSG00000019995",5993,0.393625896879693
"ENSG00000020129",4917,0.612161887329673
"ENSG00000020181",7061,0.627814757116556
"ENSG00000020219",1674,0.571087216248507
"ENSG00000020256",6997,0.542518222095184
"ENSG00000020426",3865,0.365071151358344
"ENSG00000020577",12170,0.477239112571898
"ENSG00000020633",4523,0.574176431571966
"ENSG00000020922",7689,0.385875926648459
"ENSG00000021300",4933,0.565984188120819
"ENSG00000021355",3094,0.483839689722043
"ENSG00000021461",2637,0.432688661357603
"ENSG00000021488",2597,0.529457065845206
"ENSG00000021574",5213,0.395549587569538
"ENSG00000021645",15535,0.45381396845832
"ENSG00000021762",7466,0.626171979641039
"ENSG00000021776",13528,0.388231815493791
"ENSG00000021826",10444,0.412677135197242
"ENSG00000021852",2729,0.465005496518871
"ENSG00000022267",5997,0.500750375187594
"ENSG00000022277",4063,0.463204528673394
"ENSG00000022355",6935,0.394808940158616
"ENSG00000022556",6313,0.507682559797244
"ENSG00000022567",8608,0.572026022304833
"ENSG00000022840",5911,0.504652343089156
"ENSG00000022976",5590,0.532200357781753
"ENSG00000023041",3748,0.417022411953042
"ENSG00000023171",13946,0.500358525742148
"ENSG00000023191",7374,0.610116625983184
"ENSG00000023228",12268,0.422562764916857
"ENSG00000023287",7615,0.378069599474721
"ENSG00000023318",4854,0.388957560774619
"ENSG00000023330",2536,0.51813880126183
"ENSG00000023445",7518,0.366719872306464
"ENSG00000023516",9920,0.373185483870968
"ENSG00000023572",1299,0.445727482678984
"ENSG00000023608",2656,0.376506024096386
"ENSG00000023697",2844,0.428973277074543
"ENSG00000023734",2211,0.422885572139304
"ENSG00000023839",6232,0.452021822849807
"ENSG00000023892",2545,0.603143418467583
"ENSG00000023902",6565,0.540594059405941
"ENSG00000023909",5420,0.386346863468635
"ENSG00000024048",8840,0.418891402714932
"ENSG00000024422",3923,0.610247259750191
"ENSG00000024526",5904,0.35010162601626
"ENSG00000024862",1507,0.463171864631719
"ENSG00000025039",5072,0.431388012618297
"ENSG00000025156",2702,0.404145077720207
"ENSG00000025293",8383,0.449242514612907
"ENSG00000025423",2272,0.477112676056338
"ENSG00000025434",4533,0.560114714317229
"ENSG00000025708",3320,0.648795180722892
"ENSG00000025770",3159,0.601139601139601
"ENSG00000025772",2062,0.53443258971872
"ENSG00000025796",8587,0.381041108652614
"ENSG00000025800",7480,0.47620320855615
"ENSG00000026025",5158,0.501938735944164
"ENSG00000026036",8738,0.63847562371252
"ENSG00000026103",3750,0.438133333333333
"ENSG00000026297",7643,0.513018448253304
"ENSG00000026508",10057,0.423287262603162
"ENSG00000026559",5437,0.577524370057017
"ENSG00000026652",8769,0.474740563348158
"ENSG00000026751",4833,0.460376577695013
"ENSG00000026950",5547,0.475211826212367
"ENSG00000027001",3407,0.47138244790138
"ENSG00000027075",8809,0.4944942672267
"ENSG00000027644",5101,0.609684375612625
"ENSG00000027697",2571,0.390120575651497
"ENSG00000027847",4927,0.606454231784047
"ENSG00000027869",2512,0.59156050955414
"ENSG00000028116",3509,0.439726417782844
"ENSG00000028137",3826,0.596968112911657
"ENSG00000028203",8757,0.385634349663127
"ENSG00000028277",9072,0.561618165784832
"ENSG00000028310",9572,0.553698286669453
"ENSG00000028528",9780,0.463394683026585
"ENSG00000028839",5039,0.392538202024211
"ENSG00000029153",6983,0.408850064442217
"ENSG00000029363",9297,0.355275895450145
"ENSG00000029364",7136,0.435117713004484
"ENSG00000029534",10799,0.579683304009631
"ENSG00000029559",1546,0.423673997412678
"ENSG00000029639",2736,0.432383040935673
"ENSG00000029725",6531,0.422906139947941
"ENSG00000029993",3967,0.457020418452231
"ENSG00000030066",8576,0.415461753731343
"ENSG00000030110",2212,0.588155515370705
"ENSG00000030304",4246,0.450541686292982
"ENSG00000030419",12240,0.366013071895425
"ENSG00000030582",3680,0.614945652173913
"ENSG00000031003",6808,0.39644535840188
"ENSG00000031081",9384,0.496589940323956
"ENSG00000031691",1733,0.338718984420081
"ENSG00000031698",3836,0.485662148070907
"ENSG00000031823",7445,0.570718603089322
"ENSG00000032219",7568,0.397066596194503
"ENSG00000032389",5775,0.531774891774892
"ENSG00000032444",7055,0.636144578313253
"ENSG00000032742",6111,0.385370643102602
"ENSG00000033011",4496,0.51779359430605
"ENSG00000033030",9124,0.415607189829022
"ENSG00000033050",4448,0.533273381294964
"ENSG00000033100",4205,0.604756242568371
"ENSG00000033122",14652,0.372372372372372
"ENSG00000033170",6700,0.423432835820896
"ENSG00000033178",11432,0.351207137858642
"ENSG00000033327",6771,0.536405257716733
"ENSG00000033627",11056,0.49095513748191
"ENSG00000033800",10776,0.434112843355605
"ENSG00000033867",9616,0.365120632279534
"ENSG00000034053",6869,0.561944970155772
"ENSG00000034152",3783,0.590800951625694
"ENSG00000034239",5805,0.451507321274763
"ENSG00000034510",496,0.538306451612903
"ENSG00000034533",3427,0.453457834840969
"ENSG00000034677",6031,0.436080252031172
"ENSG00000034693",2222,0.373087308730873
"ENSG00000034713",3034,0.460118655240606
"ENSG00000034971",2095,0.517422434367542
"ENSG00000035115",11165,0.430183609493954
"ENSG00000035141",3086,0.50550874918989
"ENSG00000035403",9992,0.453662930344275
"ENSG00000035499",3806,0.379926431949553
"ENSG00000035664",13612,0.504334410813988
"ENSG00000035681",6165,0.432927818329278
"ENSG00000035687",3666,0.401800327332242
"ENSG00000035720",1655,0.386706948640483
"ENSG00000035862",5633,0.548020592934493
"ENSG00000035928",6713,0.417399076418889
"ENSG00000036054",5168,0.378482972136223
"ENSG00000036257",11505,0.369230769230769
"ENSG00000036448",7062,0.516001132823563
"ENSG00000036473",1585,0.410725552050473
"ENSG00000036530",9352,0.475620188195038
"ENSG00000036549",9008,0.382992895204263
"ENSG00000036565",3910,0.478260869565217
"ENSG00000036672",4538,0.583076245041869
"ENSG00000036828",5011,0.518060267411694
"ENSG00000037042",2772,0.555916305916306
"ENSG00000037241",1164,0.515463917525773
"ENSG00000037280",8852,0.624943515589697
"ENSG00000037474",5506,0.475118053033055
"ENSG00000037637",8984,0.453918076580588
"ENSG00000037749",4792,0.441151919866444
"ENSG00000037757",3456,0.541666666666667
"ENSG00000037897",2621,0.566196108355589
"ENSG00000037965",1889,0.508205399682372
"ENSG00000038002",2675,0.394392523364486
"ENSG00000038210",3540,0.390395480225989
"ENSG00000038219",15860,0.418032786885246
"ENSG00000038274",5153,0.383854065592859
"ENSG00000038295",7522,0.414384472214836
"ENSG00000038358",6173,0.594848533938118
"ENSG00000038382",17500,0.505942857142857
"ENSG00000038427",14831,0.418447845728542
"ENSG00000038532",12387,0.522160329377573
"ENSG00000038945",7812,0.381976446492576
"ENSG00000039068",6177,0.48712967459932
"ENSG00000039123",6578,0.406962602614777
"ENSG00000039139",16475,0.440789074355083
"ENSG00000039319",11461,0.363842596632057
"ENSG00000039523",6729,0.61836825679893
"ENSG00000039537",4739,0.431103608356193
"ENSG00000039560",7687,0.447378691296995
"ENSG00000039600",3471,0.508787093056756
"ENSG00000039650",4635,0.610355987055016
"ENSG00000039987",2646,0.603174603174603
"ENSG00000040199",12493,0.446409989594173
"ENSG00000040275",4777,0.401716558509525
"ENSG00000040341",8998,0.388641920426761
"ENSG00000040487",2686,0.619136262099777
"ENSG00000040531",3398,0.561212477928193
"ENSG00000040608",3339,0.668763102725367
"ENSG00000040633",2783,0.579231045634208
"ENSG00000040731",3660,0.413934426229508
"ENSG00000040933",13187,0.49063471600819
"ENSG00000041353",7432,0.36208288482239
"ENSG00000041357",6996,0.426243567753002
"ENSG00000041515",9209,0.480182430231295
"ENSG00000041802",4818,0.457866334578663
"ENSG00000041880",2928,0.582308743169399
"ENSG00000041982",9636,0.519821502698215
"ENSG00000041988",4072,0.589390962671906
"ENSG00000042062",6009,0.579131303045432
"ENSG00000042088",6227,0.471816283924843
"ENSG00000042286",5135,0.53047711781889
"ENSG00000042304",2087,0.429324389075228
"ENSG00000042317",6872,0.395081490104773
"ENSG00000042429",10773,0.40982084841734
"ENSG00000042445",4005,0.537078651685393
"ENSG00000042493",2607,0.608362102032988
"ENSG00000042753",1704,0.550469483568075
"ENSG00000042781",20506,0.431873597971325
"ENSG00000042813",2643,0.41316685584563
"ENSG00000042832",11132,0.52703916636723
"ENSG00000042980",9351,0.386268848251524
"ENSG00000043039",3660,0.521311475409836
"ENSG00000043093",8412,0.352710413694722
"ENSG00000043143",9877,0.564240153892882
"ENSG00000043355",3310,0.585800604229607
"ENSG00000043462",7244,0.439812258420762
"ENSG00000043514",2663,0.448366503942921
"ENSG00000043591",2853,0.574483000350508
"ENSG00000044012",597,0.628140703517588
"ENSG00000044090",5628,0.593816631130064
"ENSG00000044115",8830,0.480634201585504
"ENSG00000044446",9029,0.539594639494961
"ENSG00000044459",11064,0.369848156182213
"ENSG00000044524",6674,0.398411747078214
"ENSG00000044574",3908,0.460337768679631
"ENSG00000046604",6190,0.413247172859451
"ENSG00000046647",2424,0.480610561056106
"ENSG00000046651",5172,0.415893271461717
"ENSG00000046653",5675,0.408105726872247
"ENSG00000046774",1991,0.480160723254646
"ENSG00000046889",12058,0.386963012108144
"ENSG00000047056",5656,0.498408769448373
"ENSG00000047188",10816,0.367788461538462
"ENSG00000047230",5510,0.464791288566243
"ENSG00000047249",5090,0.433202357563851
"ENSG00000047315",5901,0.41687849517031
"ENSG00000047346",9832,0.389239218877136
"ENSG00000047365",12428,0.390489217895076
"ENSG00000047410",12350,0.394817813765182
"ENSG00000047457",7296,0.382264254385965
"ENSG00000047578",9784,0.545993458708095
"ENSG00000047579",3052,0.515072083879423
"ENSG00000047597",5206,0.418363426815213
"ENSG00000047617",6255,0.499280575539568
"ENSG00000047621",4939,0.399068637375987
"ENSG00000047634",5497,0.354375113698381
"ENSG00000047644",7114,0.531627776215912
"ENSG00000047648",7885,0.509448319594166
"ENSG00000047662",6622,0.491996375717306
"ENSG00000047849",14943,0.484240112427223
"ENSG00000047932",4628,0.39628349178911
"ENSG00000047936",7856,0.420570264765784
"ENSG00000048028",5719,0.430844553243574
"ENSG00000048052",16827,0.394603910382124
"ENSG00000048140",5215,0.593480345158197
"ENSG00000048162",2862,0.501747030048917
"ENSG00000048342",7606,0.443071259531948
"ENSG00000048392",5548,0.386445565969719
"ENSG00000048405",5793,0.433454168824443
"ENSG00000048462",1118,0.434704830053667
"ENSG00000048471",11298,0.51141795007966
"ENSG00000048540",10268,0.380015582391897
"ENSG00000048544",2110,0.41563981042654
"ENSG00000048545",2341,0.551900897052542
"ENSG00000048649",15740,0.383290978398983
"ENSG00000048707",20023,0.455126604404934
"ENSG00000048740",10978,0.433503370377118
"ENSG00000048828",7204,0.453775680177679
"ENSG00000048991",7898,0.449860724233983
"ENSG00000049089",4151,0.63791857383763
"ENSG00000049130",6040,0.375
"ENSG00000049167",4847,0.424179905095936
"ENSG00000049192",8567,0.41753239173573
"ENSG00000049239",9321,0.565497264242034
"ENSG00000049245",2760,0.434057971014493
"ENSG00000049246",8099,0.437461414989505
"ENSG00000049247",1791,0.404801786711334
"ENSG00000049249",6331,0.434054651713789
"ENSG00000049283",4642,0.60792761740629
"ENSG00000049323",7329,0.506481102469641
"ENSG00000049449",7225,0.46961937716263
"ENSG00000049540",6542,0.586365025985937
"ENSG00000049541",2211,0.52962460425147
"ENSG00000049618",44058,0.428367152390031
